endTime,artistName,trackName,msPlayed
2022-12-28 11:55,"Karthik, Maha Lakshmi",Choododhu,1530
2022-12-28 11:55,Sooraj,Down Down Duppa,1693
2022-12-28 11:55,Saloni,Veyira Cheyyi Veyira,1361
2022-12-28 11:55,"Ranjith, Rahul, Naveen",Idhi Ranarangam,1181
2022-12-28 11:55,Rahul Nambiar,Guruvaram,148
2022-12-28 11:55,Rabbit Mac,Ria,0
2022-12-28 12:00,G. V. Prakash,Neeve,281520
2022-12-28 12:05,"M.M.Keeravani, Mathangi",A Vachi B Pai,283490
2022-12-28 12:07,Sooraj Santhosh,O Sayonara Sayonara,1731
2022-12-28 12:07,"Raviteja, Ali, Ranjith, Rahul Nambiar, Navin Madhav",Boss Memory Loss,140983
2022-12-28 12:07,"Jessi Gift, Suchitra",Osa Osa,2977
2022-12-28 12:07,"Lipsika, Yazin Nizar",Ee Vintha Needhiga,1330
2022-12-28 12:09,Sooraj Santhosh,O Sayonara Sayonara,976
2022-12-28 12:09,"Chitra, Aaishwarya, Gopi Sunder",Marhaba,1294
2022-12-28 12:09,"Shankar Mahadevan, Gopika poornima",Akasam Ammayaithe,1270
2022-12-28 12:09,Baba Sehgal,Jalsa Jalsa,797
2022-12-28 12:09,"Jessi Gift, Suchitra",Osa Osa,120515
2022-12-28 12:14,Baba Sehgal,Jalsa Jalsa,258384
2022-12-28 12:19,"Kota Srinivas Rao, Chorus",Mandu Baabulam,0
2022-12-28 12:19,Rahul Nambiar,Inka Cheppale,0
2022-12-28 12:19,Vishwa,Adaraku,914
2022-12-28 12:19,Vijay Prakash,Guruvaram,1042
2022-12-28 12:19,Nakul,Love Elephantla,23
2022-12-28 12:19,Harish Raghavendra,Evare Nuvvu,23
2022-12-28 12:19,Adnan Sami,Nenante Naaku,937
2022-12-28 12:19,"Dhanunjay, Sweekar",Vandha Speedulo,23
2022-12-28 12:19,Rahul Nambiar,Manakannapodichey,6460
2022-12-28 12:19,"Shankar Mahadevan, Gopika poornima",Akasam Ammayaithe,291188
2022-12-28 12:19,Karunya,Ola Olaala Ala,818
2022-12-28 12:19,"Yazin Nizar, Devi Sri Prasad",Charuseela,0
2022-12-28 12:19,"Devi Sri Prasad, Shravana Bhargavi, Magizhini Manimaran",Super Machi,1277
2022-12-28 12:19,"Jaspreet Jasz, Suchitra",Nellorae,0
2022-12-28 12:21,"Vijay Prakash, Neha Bhasin",Niharika,587
2022-12-28 12:21,"Kota Srinivas Rao, Chorus",Mandu Baabulam,93213
2022-12-28 12:21,"Chiranjeevi, K.K",Chaila Chaila,971
2022-12-28 12:21,Rahul Nambiar,Ga Gha Megha,73
2022-12-28 12:21,Thaman S,Laychalo,525
2022-12-28 12:21,G. V. Prakash,Pranama,1056
2022-12-28 12:21,"Benny Dayal, Shravana Bhargavi",Barbi Bommaki,230
2022-12-28 12:21,"Nakash Aziz, Arjun Chandy",AB Yevaro Nee Baby,1081
2022-12-28 12:21,"Jaspreet Jasz, Suchitra",Nellorae,5304
2022-12-28 12:22,Sagar,Padam Kadala,68541
2022-12-28 12:27,Hemachandra Vedala,"Bommali (From ""Billa"")",0
2022-12-28 12:27,Kunal Ganjawala,Naaku Neeku,815
2022-12-28 12:27,Thaman S,Kathi Lanti Pilla,0
2022-12-28 12:27,"Adnan Sami, Ramya Behara, Veena Ghantasala",Choolenge Aasma,6441
2022-12-28 12:27,Karunya,Endhuko Pichi Pichi,1465
2022-12-28 12:27,Neha Bhasin,Aww Tuzo Mogh Korta,1197
2022-12-28 12:27,Shahil Hada,Rooba Rooba,314373
2022-12-28 12:27,"Sagar, Geetha Madhuri",Top Lesi Poddi,23
2022-12-28 12:33,Hemachandra Vedala,"Bommali (From ""Billa"")",315163
